IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.249.98,443,443,true,SIN,Asia Pacific,Singapore,81,10.76
8.219.110.88,2096,2096,true,SIN,Asia Pacific,Singapore,89,10.76
8.222.202.163,8880,8880,false,SIN,Asia Pacific,Singapore,6,10.76
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,84,10.76
8.222.167.147,2096,2096,true,SIN,Asia Pacific,Singapore,142,10.76
8.222.146.222,80,80,false,SIN,Asia Pacific,Singapore,7,10.76
8.219.178.101,2096,2096,true,SIN,Asia Pacific,Singapore,90,10.76
47.236.104.98,2052,2052,false,SIN,Asia Pacific,Singapore,24,10.76
8.219.241.189,2096,2096,true,SIN,Asia Pacific,Singapore,169,10.76
8.218.142.253,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,10.76
8.218.119.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,10.75
47.236.5.223,2052,2052,false,SIN,Asia Pacific,Singapore,36,10.75
8.219.100.155,2052,2052,false,SIN,Asia Pacific,Singapore,13,10.75
8.219.206.180,2052,2052,false,SIN,Asia Pacific,Singapore,57,10.75
8.219.175.127,443,443,true,SIN,Asia Pacific,Singapore,87,10.75
8.222.253.235,2095,2095,false,SIN,Asia Pacific,Singapore,15,10.74
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,35,10.74
8.219.101.138,8080,8080,false,SIN,Asia Pacific,Singapore,50,10.73
8.219.106.15,2086,2086,false,SIN,Asia Pacific,Singapore,15,10.73
8.222.193.208,8080,8080,false,SIN,Asia Pacific,Singapore,24,10.73
47.88.15.127,443,443,true,SJC,North America,San Jose,174,10.73
47.236.168.17,8080,8080,false,SIN,Asia Pacific,Singapore,25,10.72
8.219.72.51,2083,2083,true,SIN,Asia Pacific,Singapore,98,10.72
8.219.74.35,2086,2086,false,SIN,Asia Pacific,Singapore,14,10.72
8.210.65.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,10.71
8.222.211.16,8080,8080,false,SIN,Asia Pacific,Singapore,27,10.71
8.219.141.174,8080,8080,false,SIN,Asia Pacific,Singapore,21,10.71
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,10.71
8.219.156.148,2082,2082,false,SIN,Asia Pacific,Singapore,20,10.71
8.219.72.50,8880,8880,false,SIN,Asia Pacific,Singapore,7,10.71
8.219.245.187,2086,2086,false,SIN,Asia Pacific,Singapore,15,10.71
8.222.254.91,2053,2053,true,SIN,Asia Pacific,Singapore,45,10.70
8.219.98.13,2096,2096,true,SIN,Asia Pacific,Singapore,120,10.68
8.218.110.180,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,10.68
8.219.113.232,2096,2096,true,SIN,Asia Pacific,Singapore,78,10.67
47.245.115.6,443,443,true,SIN,Asia Pacific,Singapore,42,10.67
8.219.122.96,80,80,false,SIN,Asia Pacific,Singapore,44,10.67
8.222.140.87,80,80,false,SIN,Asia Pacific,Singapore,15,10.66
8.219.40.37,2096,2096,true,SIN,Asia Pacific,Singapore,155,10.66
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,19,10.66
