IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.167.231,2096,2096,TRUE,SIN,Asia Pacific,Singapore,100,0.54
47.236.97.90,2096,2096,TRUE,SIN,Asia Pacific,Singapore,118,0.51
47.236.166.131,2096,2096,TRUE,SIN,Asia Pacific,Singapore,119,0.51
47.236.75.113,2096,2096,TRUE,SIN,Asia Pacific,Singapore,101,0.45
47.236.180.51,2096,2096,TRUE,SIN,Asia Pacific,Singapore,92,0.44
47.236.158.158,2096,2096,TRUE,SIN,Asia Pacific,Singapore,101,0.42
47.236.164.215,2096,2096,TRUE,SIN,Asia Pacific,Singapore,109,0.42
47.236.202.91,2096,2096,TRUE,SIN,Asia Pacific,Singapore,104,0.39
47.236.144.156,2096,2096,TRUE,SIN,Asia Pacific,Singapore,108,0.38
47.236.117.48,2096,2096,TRUE,SIN,Asia Pacific,Singapore,103,0.36
47.236.169.141,2096,2096,TRUE,SIN,Asia Pacific,Singapore,119,0.34
47.236.93.176,2096,2096,TRUE,SIN,Asia Pacific,Singapore,103,0.3
47.236.116.182,2096,2096,TRUE,SIN,Asia Pacific,Singapore,118,0.27
47.236.121.7,2096,2096,TRUE,SIN,Asia Pacific,Singapore,114,0.25
8.219.194.170,2096,2096,TRUE,SIN,Asia Pacific,Singapore,118,0.21
47.236.171.205,2096,2096,TRUE,SIN,Asia Pacific,Singapore,101,0.14
47.236.169.15,2096,2096,TRUE,SIN,Asia Pacific,Singapore,115,0.14
47.236.253.41,2096,2096,TRUE,SIN,Asia Pacific,Singapore,108,0.12
8.222.214.13,443,443,TRUE,SIN,Asia Pacific,Singapore,95,0.85
8.219.140.63,443,443,TRUE,SIN,Asia Pacific,Singapore,95,0.67
47.236.116.182,443,443,TRUE,SIN,Asia Pacific,Singapore,96,0.17
47.236.104.98,443,443,TRUE,SIN,Asia Pacific,Singapore,98,0.13
8.219.144.168,443,443,TRUE,SIN,Asia Pacific,Singapore,95,0.13
8.218.146.204,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,83,0.22
8.217.49.34,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,83,0.21
8.218.146.204,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,82,0.19
47.242.79.71,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,84,0.19
8.218.146.204,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,64,0.18
8.217.207.60,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,57,0.17
47.76.94.15,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,82,0.17
47.242.79.71,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,61,0.17
8.218.146.204,80,80,FALSE,HKG,Asia Pacific,Hong Kong,82,0.16
8.217.207.60,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,60,0.15
45.149.92.71,443,443,TRUE,HKG,Asia Pacific,Hong Kong,126,1.1
18.167.208.181,443,443,TRUE,HKG,Asia Pacific,Hong Kong,118,0.62
47.76.94.15,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,74,0.56
43.249.248.19,443,443,TRUE,HKG,Asia Pacific,Hong Kong,231,0.56
43.154.64.72,443,443,TRUE,HKG,Asia Pacific,Hong Kong,76,0.49
47.242.79.71,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,69,0.43
47.242.79.71,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,70,0.42
8.217.49.34,80,80,FALSE,HKG,Asia Pacific,Hong Kong,77,0.41
8.217.49.34,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,77,0.4
47.242.79.71,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,77,0.37
8.217.49.34,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,76,0.36
47.242.79.71,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,72,0.32
47.76.94.15,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,66,0.3
47.76.94.15,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,66,0.29
47.242.79.71,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,59,0.28
47.76.94.15,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,67,0.25
8.218.146.204,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,73,0.23
8.218.146.204,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,75,0.22
8.217.49.34,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,66,0.21
8.217.207.60,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,70,0.18
103.200.112.108,443,443,TRUE,HKG,Asia Pacific,Hong Kong,74,0.16
118.26.38.134,443,443,TRUE,HKG,Asia Pacific,Hong Kong,60,0.1
39.126.44.106,37635,80,FALSE,HKG,Asia Pacific,Hong Kong,159,0.09
45.159.50.186,32332,443,TRUE,HKG,Asia Pacific,Hong Kong,77,0.02
